ags,cows,cows_ch4e,cows_n2oe,cattle,cattle_ch4e,cattle_n2oe,pigs,pigs_ch4e,pigs_n2oe,poultry,poultry_ch4e,poultry_n2oe,other_animals,other_animals_ch4e,other_animals_n2oe,animal_wo_poultry_deposition_co2e,amount_sale_calcit,amount_sale_dolomite,amount_sale_kas,amount_sale_urea,drymass_ecrop,fertilizer_mineral_n2o,fertilizer_economy_n2o,sewage_sludge_n2o,fermentation_ecrop_n2o,pasturage_n2o,crop_residues_n2o,farmed_soil_n2o,farmed_soil_loss_organic_n2o,diffuse_nitrate_emissions_n2o,diffuse_emissions_n2o,farms
08000000,315337,7.676058925,0.207142102,595741,4.742737436,0.218191298,1467400,5.077729368,0.087858438,6463104,0.312462843,0.011005437,351008,0.284267632,0.036564489,2729486,134908,16386,29172,38383,1793120,1193.196595,941.6215399,0.471460229,352.246434,228.3732646,518.8541614,236.1327571,4.413533372,861.894957,384.2692073,38440
09000000,1086209,29.50503543,0.765071777,1799514,16.67860116,0.626959943,2741500,10.9262918,0.16541628,14616073,0.476934577,0.022395265,423487,0.33353563,0.043980411,6050710,763386,400,72217,95021,4714691,3141.689754,2795.389549,18.5656738,952.1258975,393.4972288,1424.700498,1331.500657,7.987650259,2206.073083,934.4952012,83830
11000000,1464,0.03557347,0.000780001,3578,0.025499512,0.001059438,380,0.001919125,2.33888E-05,3292,0.000117918,3.94592E-06,2235,0.004702093,0.000606023,7657,876.3333333,0,113.6666667,149.6666667,15487,3.026883536,3.139163355,0.836738067,1.997154946,2.77405717,0.924918653,24.5484381,0.013826527,4.21235156,1.882720087,277
12000000,132351,1.056711355,0.070756031,324754,1.266472755,0.095796205,696100,0.940537857,0.021884821,10623688,0.417542019,0.01326156,113389,0.082256616,0.010350147,1266594,270113,3610,26476,34837,1154652,611.6855932,256.4919687,1.715055934,123.8248165,295.4784153,239.279314,1890.303171,16.48655027,645.8419922,175.2099604,5360
04000000,1464,0.03557347,0.000780001,3578,0.025499512,0.001059438,380,0.001919125,2.33888E-05,3292,0.000117918,3.94592E-06,2235,0.004702093,0.000606023,7657,876.3333333,0,113.6666667,149.6666667,15487,3.026883536,3.139163355,0.836738067,1.997154946,2.77405717,0.924918653,24.5484381,0.013826527,4.21235156,1.882720087,277
02000000,1464,0.03557347,0.000780001,3578,0.025499512,0.001059438,380,0.001919125,2.33888E-05,3292,0.000117918,3.94592E-06,2235,0.004702093,0.000606023,7657,876.3333333,0,113.6666667,149.6666667,15487,3.026883536,3.139163355,0.836738067,1.997154946,2.77405717,0.924918653,24.5484381,0.013826527,4.21235156,1.882720087,277
06000000,124857,2.691776768,0.077190369,271820,1.873245797,0.099915195,445900,1.587152471,0.026132379,2824712,0.103469301,0.003736621,171631,0.146464725,0.018479586,1014208,154524,6894,17035,22415,477667,393.5258073,203.7453876,6.102421172,50.88380734,168.2533288,186.003788,64.48058571,1.307517315,439.4222384,148.6722659,15110
13000000,153153,1.260747537,0.071784362,297853,1.094753883,0.082295894,700100,0.868758413,0.023656338,9038897,0.309531764,0.009921381,100338,0.070574429,0.008583397,1251444,332019,941,36351,47830,1468394,864.1999955,267.6143124,8.683944651,163.5826507,238.1898091,417.4064776,1942.632686,1.582279291,835.5769304,197.3767983,4820
03000000,798278,21.69110581,0.433937325,1541463,12.89884873,0.437948448,7757300,34.58812652,0.33817576,85979397,2.691501747,0.088674147,261049,0.270642185,0.034038085,10358090,803882,23500,71172,93646,4892987,1859.0906,2143.108604,30.58124513,625.0128838,739.4446046,768.9778918,4219.821571,2.768697287,2342.450873,873.207737,35350
05000000,384215,10.89248115,0.229858044,889124,8.140924339,0.310956431,6288200,28.40402392,0.255765381,13839958,0.496974497,0.022650078,258536,0.318593802,0.040463402,7820075,501456,15393,38788,51036,1346471,1236.309024,1319.543726,5.492334637,197.8552897,431.2026389,642.4940598,294.9268143,3.700413854,1279.058786,429.1919421,32100
07000000,98537,2.113269353,0.061858453,20254,1.38151326,0.072950699,122800,0.463007606,0.0081163,137075,0.055889273,0.002059689,103071,0.08185165,0.010083077,344662,60209,1020,13555,17835,377469,399.7686389,189.9905891,11.73703717,60.69468608,153.0331057,190.1614686,17.76924286,3.44513227,342.4858947,110.4076426,15940
10000000,125,0.299425933,0.007992407,26976,0.198664932,0.010761231,1900,0.004676968,0.00018392,229586,0.008930187,0.000289458,11172,0.016099747,0.002058265,40173,2471,1374,1091,1436,14601,38.63083151,26.43115166,2.633005598,2.397089314,18.85194199,11.05569967,3.5772,0.0307225,30.06381435,12.3899778,1080
14000000,171898,2.175561561,0.096618606,271799,1.368231525,0.09216237,609300,2.001957275,0.028883578,5473622,0.213573661,0.007256207,97176,0.057728352,0.007430789,1150173,474597,19276,25604,33690,662735,677.2772316,331.2983742,5.050586871,81.71547898,140.7715721,279.8961641,31.801,3.644248097,598.4999658,143.3332869,6410
15000000,103628,1.301107251,0.062324783,181199,0.922939885,0.063340411,1103300,2.365823359,0.038552398,16474981,0.529215447,0.017000894,82428,0.04194195,0.005372801,1470555,281215,4778,30334,39912,1260025,620.4403136,227.0849908,4.15147794,124.0145615,102.7101939,331.6483117,767.3296714,2.438027636,721.9610336,169.5537413,4270
01000000,360245,7.660681282,0.220107194,597878,3.80666316,0.182615812,1210700,5.011290692,0.062052339,3917144,0.120922788,0.004186114,261552,0.176765139,0.020287099,2430375,410765,15754,29093,38280,1837536,754.8444629,572.6581129,8.537134483,231.4519948,421.9561517,268.5698504,1442.682686,1.156978131,833.7042555,317.0150105,12040
16000000,87117,0.652469827,0.046069631,195552,0.847086635,0.064254433,617700,1.392981194,0.022572212,3133489,0.123108517,0.004424011,168760,0.070609551,0.009303563,1069129,246319,2758,22774,29965,504487,609.4150748,226.5698332,5.75408626,67.51685963,116.2338284,259.0309315,65.69388571,0.843579306,491.9833618,112.4613715,3670
DG000000,3820342,89.08315259,2.353051086,7024661,55.29718203,2.361326683,23763340,93.63811482,1.07932031,162141206,5.860410373,0.2068727,2410302,1.965437686,0.24881318,37018645,4438493,112084,414003,544735,20551296,12409.15457,9510.96563,111.9856781,3039.313915,3456.318255,5540.853372,12382.29724,49.84680916,11641.65424,4013.232303,259251
